unixtime_start,unixtime_end,stato,pista,impianto_inizio,impianto_fine
1740038399,1740038744,Discesa,Zoncolan 4,Valvan,Giro d'Italia
1740039247,1740039452,Discesa,Goles + Zoncolan 4,Giro d'Italia,Tamai 2000
1740039978,1740040342,Discesa,,Tamai 2000,Giro d'Italia
1740040897,1740041270,Discesa,,Giro d'Italia,Giro d'Italia
1740041907,1740042412,Discesa,,Giro d'Italia,Valvan
1740043617,1740043847,Discesa,,Cuel d'Ajar,Tamai 2000
1740044360,1740044453,Discesa,,Tamai 2000,Cima Tamai
1740044955,1740045579,Discesa,,Cima Tamai,Valvan
1740046446,1740046707,Discesa,,Valvan,Valvan
1740047329,1740047886,Discesa,,Valvan,Zoncolan
1740048768,1740049229,Discesa,,Zoncolan,Al Cocul
1740051738,1740051835,Discesa,,Al Cocul,Valvan
1740052443,1740053256,Discesa,,Valvan,Giro d'Italia
1740053682,1740054126,Discesa,,Giro d'Italia,Tamai 2000
1740054565,1740054736,Discesa,,Tamai 2000,Cima Tamai
1740055342,1740056062,Discesa,,Cima Tamai,Valvan
1740058844,1740059317,Discesa,,Valvan,Zoncolan
1740060679,1740061025,Discesa,,Zoncolan,Tamai 2000
1740061483,1740061856,Discesa,,Tamai 2000,Giro d'Italia
1740062256,1740062586,Discesa,,Giro d'Italia,Giro d'Italia
1740063059,1740063856,Discesa,,Giro d'Italia,Valvan
