unixtime_start,unixtime_end,nome_impianto,lunghezza
1740038902,1740039164,Giro d'Italia,1094
1740039615,1740039888,Tamai 2000,1122
1740040527,1740040804,Giro d'Italia,1094
1740041563,1740041828,Giro d'Italia,1904
1740043348,1740043611,Cuel d’Ajar,1120
1740044020,1740044306,Tamai 2000,1100
1740044473,1740044701,Cima Tamai,560
1740045944,1740046346,Valvan,1603
1740046759,1740047159,Valvan,1603
1740048163,1740048449,Zoncolan,2034
1740051897,1740052322,Valvan,1603
1740053305,1740053591,Giro d’Italia,1094
1740054184,1740054472,Tamai 2000,1100
1740054767,1740055003,Cima Tamai,560
1740058277,1740058673,Valvan,1603
1740059695,1740060540,Zoncolan,2034
1740061061,1740061324,Tamai 2000,1100
1740061893,1740062178,Giro d’Italia,1904
1740062586,1740062906,Giro d’Italia,1904



