unixtime,latitudine,longitudine,altitudine,precisione_orizzontale,precisione_verticale,geometry,delta_tempo,distanza_orizzontale,distanza_verticale,distanza_reale,pendenza,velocita,delta_velocita,accelerazione,pendenza_radianti,accelerazione_max
1734873926.0,46.506091,12.932234,1751.666647,2.8,10.0,POINT (1439609.7036994593 5861824.910930301),100.0,28.38989964524595,-2.1075029999999515,28.46801662852797,-4.245522199656021,0.2846801662852797,-1.843999247734899,-0.01843999247734899,-0.07409834085050963,-0.7262397201665738
1734873931.0,46.506056,12.932364,1750.606755,2.5,10.0,POINT (1439624.1752332626 5861819.250159528),5.0,15.539292659677963,-1.0598919999999907,15.57539686219216,-3.9019425944696864,3.1150793724384322,2.8303992061531527,0.5660798412306305,-0.06810174549730591,-0.6675618356305886
1734873974.0,46.50599,12.93248,1749.417581,3.0,9.9,POINT (1439637.0882941945 5861808.575573125),43.0,16.753923048390888,-1.1891740000000937,16.796073121824627,-4.059978970384669,0.39060635167034014,-2.7244730207680923,-0.06335983769228122,-0.07086000059494182,-0.6945550221999518
1734873978.0,46.505923,12.932638,1747.840441,3.0,9.9,POINT (1439654.67677374 5861797.739263822),4.0,20.658659492370138,-1.577139999999872,20.718773675130834,-4.365652294816218,5.179693418782708,4.789087067112368,1.197271766778092,-0.07619500654178919,-0.7467499593651045
1734873981.0,46.505872,12.932815,1747.328742,2.9,9.9,POINT (1439674.3803236103 5861789.490738826),3.0,21.360431692924504,-0.5116990000001351,21.36655980673292,-1.3722843813657388,7.122186602244306,1.9424931834615977,0.6474977278205326,-0.02395088072852566,-0.23493567684300412
1734873983.0,46.505823,12.93293,1746.053109,2.7,9.9,POINT (1439687.1820650515 5861781.565692689),2.0,15.056259170052854,-1.2756329999999707,15.110201181535922,-4.842786904382419,7.555100590767961,0.43291398852365504,0.21645699426182752,-0.08452257645393702,-0.8281795576151088
1734873986.0,46.505748,12.93302,1743.917785,3.3,6.3,POINT (1439697.2008192232 5861769.4355338635),3.0,15.73264721180153,-2.135323999999855,15.87689506408548,-7.729277170707605,5.29229835469516,-2.262802236072801,-0.7542674120242671,-0.13490133542807953,-1.3193718517031197
1734873989.0,46.505642,12.933035,1741.247795,3.1,4.4,POINT (1439698.870611585 5861752.291604602),3.0,17.225054921890795,-2.669990000000098,17.430759124669667,-8.811078884007953,5.810253041556556,0.5179546868613958,0.17265156228713194,-0.15378233717888634,-1.5026655874631822
1734873992.0,46.505562,12.932888,1739.364279,2.7,5.0,POINT (1439682.5066464383 5861739.352812197),3.0,20.861248865183523,-1.8835160000000997,20.946105526741174,-5.159120646205069,6.982035175580392,1.171782134023836,0.39059404467461195,-0.09004364178389594,-0.882134959952897
1734873996.0,46.505446,12.932957,1735.82227,3.1,6.0,POINT (1439690.187691303 5861720.5915970355),4.0,20.27268222389074,-3.5420090000000073,20.579783096693138,-9.91058530983483,5.1449457741732845,-1.8370894014071073,-0.4592723503517768,-0.17297234445640017,-1.6884098402175778
